address,company_logo,company_name,company_url,email_address,key_clients,lawyers,phone_number,practice_heads,website
Betto Perben Pradel Filhol    41 Avenue de Friedland        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/16529.jpg?v=1587048836, Betto Perben Pradel Filhol ,,jean-georges.betto@bettoseraglini.com,, Jean-Georges Betto; Gaëlle Filhol; Dominique Perben  ; Martin Pradel  ; Alexandre Reynaud, 00 33 1 40 55 38 77,Jean-Georges Betto;Gaëlle Filhol;Alexandre Reynaud,http://www.bettoseraglini.com
Benoliel Avocats    118 LA BOETIE        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/17029.jpg?v=1581413424, Benoliel Avocats ,,ba@benoliel-avocats.com,GROUPE TF1;ETABLISSEMENTS GABRIEL BOUDIER;GROUPE FUNECAP TOPCO;LOLA JAMES HARPER;TECHNOPHARMA LIMITED;GROUPE TF1;ETABLISSEMENTS GABRIEL BOUDIER;GROUPE FUNECAP TOPCO;LOLA JAMES HARPER;TECHNOPHARMA LIMITED,Maitre Sylvie BENOLIEL-CLAUX ;Ms Anne-Sophie LEROI;Maitre Clara VIGUIE , +33 1 45 61 38 00,Sylvie Benoliel-Claux;Sylvie Benoliel-Claux,http://www.benoliel-avocats.com
BCTG Avocats    14 AVENUE GOURGAUD        75017 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/11668.jpg?v=1580315453, BCTG Avocats ,,c.broyet@bctg-avocats.com,GROUPE EDF RENOUVELABLES;VALOREM;TOTAL EREN;WPD;VSB ENERGIES NOUVELLES;JPEE;VOLTALIA;NIKE;Converse Inc. / ALL STAR C.V;STADA Arzneimittel AG / EG LABO;Uber;GROUPE EDF RENOUVELABLES;NEWMONT MINING;TOTAL EREN;VINCI ENVIRONNEMNET;VINCI CONSTRUCTION;VALOREM;WPD;VSB ENERGIES NOUVELLES;JPEE;VOLTALIA;Caudalie;STADA (EG Labo);Teva Santé;Johnson & Johnson Santé Beauté France;Genethon;Reckitt Benckiser;Boehringer Ingelheim;Biocodex;Céva Santé Animale;Genosafe;EDF RENOUVELABLES;NEWMONT MINING;TOTAL EREN;VINCI ENVIRONNEMNET;VINCI CONSTRUCTION;VALOREM;WPD;VSB ENERGIES NOUVELLES;JPEE;VOLTALIA,, 33 1 44 15 61 00,Paul Elfassi;Catherine Dupuy-Burin des Roziers;Diane Mouratoglou;Gaëlle Bloret-Pucci;Paul Elfassi;Hugues Villey-Desmeserets;Paul Elfassi;Sabine de Paillerets,http://www.bctg-avocats.com
"Barbier Legal    64, RUE DE MIROMESNIL        75008 PARIS                France",https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/17870.jpg?v=1580315487, Barbier Legal ,,contact@barbier.legal,,, 33 1 85 09 71 08,Jérôme Barbier,http://www.barbier.legal
Wilhelm &amp; Associés    70 BOULEVARD DE COURCELLES        75017 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/11603.jpg?v=1597242073, Wilhelm & Associés ,,cabwilhelm@wilhelmassocies.com,GROUPE CANAL +;GROUPE TELFRANCE;FRANCE CHANNELS;GROUPE CANAL +;CANAL + INTERNATIONAL;BETCLIC EVEREST;GROUPE FNAC DARTY;AMADEUS;GENERAL IMPORT;LEROY MERLIN;ZADIG & VOLTAIRE;NUXE;DOUGLAS – NOCIBE;CANAL +;BETCLIC EVEREST;ZADIG & VOLTAIRE;NUXE;NOCIBE;CAMAIEU;BANQUE HOTTINGUER;LEROY MERLIN;AMPLEGEST;FINANCIERE AMPLEGEST;TELFRANCE;CYRUS;RLCF;VALOTEL;ODAS;WILES VENTURES;LEROY MERLIN;CEETRUS;ETS SCHIEVER;DECATHLON;WELDOM;GROUPE DUVAL;FREY;IKEA;MCARTHURGLEN;FINANCIERE APSYS;KINEPOLIS;MEGARAMA;BRICOMAN;EIC TRANSACTION;MONOPRIX;HYPER U;SUPER U;LES ARCHES METROPOLES, Stéphanie Coen; Emilie DUMUR; Delphine D’ALBERT DES ESSARTS; Marie-Anne RENAUX ; Pascal WILHELM, 33 1 53 93 92 30,Pascal Wilhelm ;Pascal Wilhelm;Pascal Wilhelm;Marie-Anne Renaux;Delphine d’Albert des Essarts,https://www.wilhelmassocies.com
Bolze Associés    53 AVENUE VICTOR HUGO        75116 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/14958.jpg?v=1580315468, Bolze Associés ,,contact@bolze-associes.com,,Maitre Ingrid BINET ;Maitre Eric BOLZE ;Maitre Alexandre CARTERET ;Maitre Tiphaine HUE ;Maitre Salomé KHANOYAN ;Maitre Florent PRISQUE , 33 1 56 43 65 40,,https://www.bolze-associes.com
Winston &amp; Strawn LLP    68 RUE DU FAUBOURG SAINT-HONORÉ        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/51080.jpg?v=1580315527, Winston & Strawn LLP ,,receptionpa@winston.com,"MNH;PointVision;Ramsay Générale de Santé;SC Johnson;Agefos PME;PrivatBank;Vert Marine;GEN BIO;Union Asset Management;Vivalto Santé;Biopath;Holding Portugal Luxembourg;Biopath;La Croix Rouge Française;Laboratoire ZTP;Mutuelle Nationale des Hospitaliers (MNH);PointVision;Ramsay Générale de Santé;Republic of Ecuador;Ministry of Justice of Ukraine;Sodexo;Atlas Holdings, Inc.;Banque Neuflize OBC;Carlsberg;Comcast;Dada Holdings LLC;GLL Real Estate Partners;Groupe Photosol;Hendrickson;Inovalis;Lear Corporation;MacLean Power;MNH;Nissan Europe SAS;PointVision;SC Johnson;SeLoger.com;Soitec More than;The Jordan Company, Inc.;Transcendia Inc.",Mr Gilles Bigot ; Aurelie Camard ; Nicola Di Giovanni ;Mr Jérôme Herbet ; Rim Khirddine ;Ms Maria Kostytska ; Jean-Patrice Labautière ; Mounir Letayf ;Ms Lefranc-Barthe Mathilde ; Virgile Puyau ;Ms Anne-Carine Ropars-Furet ; Stéphane Sabatier ; Sara Susnjar ; Julie Vern Cesano-Gouffrant , 33 1 53 64 82 82,Gilles Bigot;Gilles Bigot;Jérôme Herbet,https://www.winston.com
Weil &amp; Associés    26 AVENUE DE LA GRANDE ARMÉE        75017 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/13160.jpg?v=1580315457, Weil & Associés ,,info@weil-paris.fr,,Ms Mathilde Houet-Weil;Maitre Patricia Vincent ;Maitre Bruno Weil ;Rechtsanwa Heinz Weil ;Maitre Eric Weil , 33 1 44 15 98 98,,https://www.weil-paris.fr
Villechenon    5 RUE DE LA BOÉTIE        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/16956.jpg?v=1580315480, Villechenon ,,contact@villechenon.com,Axa Venture Partners;CM-CIC Investissement;Cathay Innovation;Crocus;Ekinops;Gimv;Orange Digital Ventures;Prime Ventures;Serena Capital;WildBunch, Catherine Nahmias-Ferrandini , 33 1 42 68 81 30,Isabelle Burel-Blasoni;Morgan Hunault-Berret;Alexander Kotopoulis;Erwan Tostivint;Eric Hebras,http://www.villechenon.com
Villey Girard Grolleaud    15 AVENUE D'EYLAU        75116 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/16536.jpg?v=1582633296, Villey Girard Grolleaud ,,pgirard@vggassocies.com,"EPC;Interiale / LMDE;Caisse des dépôts et consignation;Conforama;Française des Jeux;Groupe AB;Les Editions Rotatives (Charlie Hebdo);Rotana Jet Airline;LVMH;Neo Capital;Vallourec;LLSOLLU;Vallourec;Ethic Intelligence;Groupe AB;PSB Industries and Baikowski;Hachette Livre;Argon Consulting;Conforama;Bpifrance, Purple;Dévelopment and Almpatros;Caisse des Dépôts;Bpifrance Investissement;Clarins;Clarins;PSB Industries;Conforama;Financiere Haudecoeur",Ms Pascale Girard;Maitre Frédéric Grillier ;Maitre Yann Grolleaud ;Maitre Louis-Marie Pillebout ;Maitre Daniel Villey , 33 1 56 89 40 00,Daniel Villey;Louis-Marie Pillebout;Pascale Girard;Daniel Villey;Frédéric Grillier;Yann Grolleaud,https://www.vggassocies.com/fr
Vogel &amp; Vogel    30 AVENUE D'IÉNA        75116 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/11262.jpg?v=1580315452, Vogel & Vogel ,,vogel@vogel-vogel.com,SNCF Mobilités/GEODIS;Renault;TF1;Bouygues;TF1;Alcyon;SALTO;Wane/UIPF;Digicel;PMT (Vodafone Polynesia),Mr Joseph Vogel ;Mr Louis Vogel , 33 1 53 67 76 20,Joseph Vogel;Louis Vogel;Juliette Blouet;Fernanda de Abreu;Laurence Boudailliez;Cécile Assémat;Charles Fahrner;Sylvain Corvol,https://www.vogel-vogel.com
Vivien &amp; Associés    3 RUE DE MONTTESSUY        75007 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/11320.jpg?v=1582550746, Vivien & Associés ,,nicolas.vivien@va-fr.com,Mühlhaüser France;Total Specific Solution;PSB Industries;Rubix Group;Onepark SAS;Croix Rouge Française;Time Versalift SAS;OP.Serv – Rok Solution;Socialbakers;Shapr SAS;LK Bennett Ltd. and France SARL;Electrolux;Cyrus Capital;Comeca;Muhlhauser;Yara;BCBG Max Azria Group;Septodont;Overhead Door Corporation;La Poste Group;Schlumberger;NextiraOne;Akuo Energy;Amadeus IT Group;AP/HP;Assistance Publique-Hôpitaux de Paris;Arrow Electronics;Aryzta Group;Axereal;Babel;Baikowski;BVA;CCFA (Comité des Constructeurs Français d’Automobiles)°;Change;Cromology;Electrolux;EndemolShine;Engie;Eyrolles;Gazechim Group;Groupe La Poste;Le Coq Sportif;Les Cinémas Pathé Gaumont;Nelite;ONFI – Office National des Forêts International;OnePark;Pathé;PSB Industries;RATP;Rubix Group;Schlumberger;SGPA Technicolor;Total Specific Solutions Group;Total Webhosting Solutions;Union InVivo;Wessanen,Mme Laetitia Amzallag ;Mr Laurent Assaya ;Mme Emmanuelle Bouretz ;Mr Jérôme Chapus ;Mr Emmanuel Chauvet ;Mr Jacques Epstein ;Mme Judith Fargeot ;Mme Joëlle Hannelais ;Mme Marine Pelletier-Capes ;Mr Jean Reynaud ;Mme Marie-Emilie Rousseau-Brunel ;Mr Nicolas Vivien, 33 1 45 02 39 50,Emmanuelle Bouretz;Joëlle Hannelais;Marie-Emilie Rousseau-Brunel;Laurent Assaya;Nicolas Vivien;Judith Fargeot;Jacques Epstein;Laetitia Amzallag;Emmanuel Chauvet;Laurent Assaya;Simon Salter;Jérôme Chapus;Marine Pelletier-Capes,https://va-fr.com/
Veil Jourde    171 BOULEVARD HAUSSMANN                    75008 PARIS    France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/13459.jpg?v=1580315459, Veil Jourde ,,p.masquet@veil.fr,"Société Générale;Total;Lagardère;Royal Bank of Canada Trust Company Limited;UBS AG;Didier Lombard;The Duke and Duchess of Cambridge;SNCF réseau & SNCF holding;Conseil national du notariat;ARDP;Autorité de régulation de la Distribution de la Presse;Canal Plus;Direct Energy;Artémis;Bureau national interprofessionnel du Cognac;Ville de Bayonne;Ileva;Société Générale;Total;Perfume subsidiaries of LVMH;Publicis;L’Oréal;Crédit Agricole Leasing & Factoring;Le Figaro;BPCE;Lagardère;Crédit Foncier;Aryes;Le Dôme, a well-known restaurant;Stéphane Gorrias, liquidator of 1855 – Arès / Héraclès;Fred Paris;Assofac;Lagardère;Jacquet Metal Service;Publicis;Delachaux;Vigeo;Crédit Agricole;Mazarine;Trail;Alès Groupe", Nicolas Brault ; Eric Deubel ; Pierre Deval ; Marie Errera ; François Esclatine; Nassim Ghalimi ; Emmanuel Glaser ; Benoît Gréteau ; Laurent Jobert ; Georges Jourde ; Hervé Pillard ; Véronique Prévôt-Leygonie ; Emmanuel Rosenfeld ; Géraud Saint Guilhem ; Pierre-François Veil; Jean Veil ; François de Navailles , 33 1 56 69 56 69,Jean Veil;Georges Jourde;Emmanuel Glaser;Jean Veil;Georges Jourde;Jean Veil;François Esclatine;André Dupont-Jubien;Georges Jourde;Nassim Ghalimi;Pierre Deval;François de Navailles;Géraud Saint Guilhem;Laurent Jobert,http://www.veil.fr
Valoris Avocats    14 Avenue Pierre Mendès-France    F-67300 Strasbourg-Schiltigheim                    France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/233602.jpg?v=, Valoris Avocats ,,info@valoris-avocats.com,,Me Florence DREVET-WOLFF ;Me Xavier DUQUENNE ;Me Luc JULIEN-SAINT-AMAND ;Me Cécile PUIJALON-RADU ;Me Guillaume RUBECHI , +33 3 90 41 33 13,Florence Devret-Wolff;Xavier Duquenne;Luc Julien-Saint-Amand;Céline Puijalon-Radu;Guillaume Rubechi;Guillaume Rubechi;Luc Julien-Saint-Amand;Xavier Duquenne,https://valoris-avocats.com
"UGGC Avocats    47, RUE DE MONCEAU        75008 PARIS                France",https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/11260.jpg?v=1583761948, UGGC Avocats ,,paris@uggc.com,"French Ministry of Culture;Château de Versailles Public Entity;Banque de France;SNCF Group;SEITA-Imperial Tobacco;Transdev;Spie Batignolles;Conair Group Inc.;Saint Gobain;Cité de la Musique – Philharmonie;Alliance Entreprendre;BPIfrance (French Public Bank);Advent France Biotechnoly;EDF Pulse Croissance;Caisse des dépôts et consignations (CDC);Isatis Capital;Entrepreneur Venture;Consorts Giacometti / Berthoud;Jean Paul Gaultier;Crédit Agricole Immobilier;Colas;Anne Frank Fonds;Johnson Outdoors;Arthurimmo;ESMOD;Paylead;AB SAGAX;CARLYLE REAL ESTATE;RED TREE CAPITAL;SNCF;The French State;CAISSE DES DEPÔTS ET CONSIGNATIONS;CAFOM;CA ANIMATION GROUP (GRAND SALOIR SAINT NICOLAS, SAPRESTI TRAITEUR, LES MONTS DE LA ROCHE);UNIKALO;SOLINEST;BPIFRANCE INVESTISSEMENTS and VALLOUREC TUBES;SWITCH;ASTON;GIFAS;LEICHEM;FIAT FRANCE/CHRYLSER FRANCE",, 33 1 56 69 70 00,"Thierry Dal Farra;Sophie Uettwiller;Charles-Emmanuel Prieur;Yves Mondellini;Julien Mayeras;Ali Bougrine;Elisabeth Logeais, Corinne Khayat, Jean François Canat;David Gordon Krief  Julien Mayeras;Michel Ponsard ;Corinne Khayat ",https://www.uggc.com
"Weil, Gotshal &amp; Manges LLP    2 RUE DE LA BAUME        75008 PARIS                France",https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/51047.jpg?v=1580315527," Weil, Gotshal & Manges LLP ",,jacqueline.ancelet@weil.com,Total;EBM (Coopérative Elektra Birseck);ArchiMed;Orange;TDF;Caisse des dépôts et consignations;SNCF Group;Transdev;French State (Agence des Participations de l’Etat);BPI;Engie;Compagnie Nationale du Rhône;CDC Habitat;Action Logement;Aéroports de Paris;3i;Advent International;Antin Infrastructure;Carlyle;EQT;Equistone;Montagu Private Equity;Ontario Teacher’s Pension Plan;PAI Partners;Weinberg Capital Partners;Montagu Private Equity;CVC;3i;TowerBrook Capital Partners (UK) LLP;Astorg;HLDE;Chequers;Ardian;CEVA Santé Animale;Sanofi;Rallye/Casino;CCMP/MacqPisto;ATOS;Altarea Cogedim;Atos;Casino;Engie;Eutelsat;JCDecaux Holding;Orange;Primeo Energie;Sanofi;Total;Ardian;Casino;CVC;HLD;Elsan;La Poste;Oaktree;PAI;Sanofi;SFEC;Sushi Shop;Total;Towerbrook;3i;Ardian;Montagu Private Equity;Rothschild & Cie;3i;Antin Infrastructures;Parquest;Tereos;Chargeurs SA;Infravia;Eurazeo;Pernod Ricard, David Aknin;Mr Jean Beauchataud ;Mr Benjamin Blegiers (de) ; Frédéric Cazals; Stéphane Chaouat; James Clarke; Arthur De Baudry d’Asson; Jean-Dominique Daudier De Cassini; Edouard De Lamy; Alexandre Duguay; Romain Ferla; Emmanuelle Henry; Olivier Jauffret; Didier Malka; Anne-Sophie Noury ; Yannick Piette; Frédéric Salat-Baroux; Claude Serra; Agathe Soilleux, 33 1 44 21 97 97,Frédéric Salat-Baroux;Didier Malka;Jean-Dominique Daudier de Cassini;Anne-Sophie Noury;David Aknin;Olivier Jauffret;James Clarke;Claude Serra;Claude Serra;Yannick Piette;Didier Malka;Romain Ferla;Stéphane Chaouat;Edouard de Lamy,http://www.weil.com
Tirard Naudin Société d'Avocats    9 RUE BOISSY D'ANGLAS        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/20818.jpg?v=1580315493, Tirard Naudin Société d'Avocats ,,lawfirm@tirard-naudin.com,,, 33 1 53 57 36 00,Jean-Marc Tirard;Maryse Naudin,https://www.tirard-naudin.com
Taylor Wessing    69 AVENUE FRANKLIN D ROOSEVELT        75008 PARIS                France,https://www.legal500.com/wp-content/uploads/assets/client/firm_logo/3259.jpg?v=1580315506, Taylor Wessing ,,taylorwessing@taylorwessing.com,,, 33 1 72 74 03 33,Christian Valsamidis;Claire Saint-Laurent;Benoit Goulesque-Monaux;Marc Schuler;Christian Valsamidis;Claire Saint-Laurent-Mantoux;Valérie Aumage;Marc Schuler;Paul-Albert Iweins;Pierre-Olivier Leblanc;Philippe Glaser;Marc Schuler;Christian Valsamidis;Claire Saint-Laurent-Mantoux;Benoît Goulesque-Monaux;Marc Schuler;Sophie Pignon;Paul-Albert Iweins;Markus Asshoff;Evelyne Friedel;Evelyne Friedel;Valérie Aumage;Marc Schuler;Philippe Glaser;Marc Schuler;Gilles Amsallem;Nicolas de Witt;Laurence Lapeyre;François Mary;Christophe Flaicher;Sophie Pignon;Eric Charvillat;Sophie Nicolas;Paul-Albert Iweins;Philippe Glaser;Benoit Goulesque-Monaux;Pierre-Olivier Leblanc;Claudia Jonath;Markus Asshoff;Alfred Fink;Evelyne Friedel;Grégoire Toulouse,https://www.taylorwessing.com
